Code,Aspect,Linked Aspect IDs
AC9E3LA09,"They describe how stories are developed through characters and/or events., They describe the language features of texts including topic-specific vocabulary and literary devices, and how visual features extend meaning., They identify literal meaning and explain inferred meaning., They read, view and comprehend texts, recognising their purpose and audience., They use language features including topic-specific vocabulary, and/or visual features and features of voice., They use text structures including paragraphs, and language features including compound sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year3-AS-3926, Year3-AS-4477, Year3-AS-6612, Year3-AS-7034, Year3-AS-7796, Year3-AS-994"
AC9E3LA10,"They describe the language features of texts including topic-specific vocabulary and literary devices, and how visual features extend meaning., They use language features including topic-specific vocabulary, and/or visual features and features of voice., They use text structures including paragraphs, and language features including compound sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year3-AS-4477, Year3-AS-7796, Year3-AS-994"
AC9E3LA11,"They describe the language features of texts including topic-specific vocabulary and literary devices, and how visual features extend meaning., They use text structures including paragraphs, and language features including compound sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year3-AS-7796, Year3-AS-994"
AC9E3LE01,"They describe the language features of texts including topic-specific vocabulary and literary devices, and how visual features extend meaning., They identify literal meaning and explain inferred meaning., They read, view and comprehend texts, recognising their purpose and audience., They relate ideas; express opinion, preferences and appreciation of texts; and include relevant details from learnt topics, topics of interest or texts.","Year3-AS-3926, Year3-AS-5312, Year3-AS-7034, Year3-AS-7796"
AC9E3LE02,"Students interact with others, and listen to and create spoken and/or multimodal texts including stories., They create written and/or multimodal texts including stories to inform, narrate, explain or argue for audiences, relating ideas including relevant details from learnt topics, topics of interest or texts., They relate ideas; express opinion, preferences and appreciation of texts; and include relevant details from learnt topics, topics of interest or texts.","Year3-AS-5312, Year3-AS-7849, Year3-AS-9767"
AC9E3LE03,"They describe how stories are developed through characters and/or events., They describe the language features of texts including topic-specific vocabulary and literary devices, and how visual features extend meaning., They read, view and comprehend texts, recognising their purpose and audience., They relate ideas; express opinion, preferences and appreciation of texts; and include relevant details from learnt topics, topics of interest or texts.","Year3-AS-3926, Year3-AS-5312, Year3-AS-6612, Year3-AS-7796"
AC9E3LE04,"They describe the language features of texts including topic-specific vocabulary and literary devices, and how visual features extend meaning., They read, view and comprehend texts, recognising their purpose and audience., They relate ideas; express opinion, preferences and appreciation of texts; and include relevant details from learnt topics, topics of interest or texts.","Year3-AS-3926, Year3-AS-5312, Year3-AS-7796"
AC9E3LE05,"Students interact with others, and listen to and create spoken and/or multimodal texts including stories., They create written and/or multimodal texts including stories to inform, narrate, explain or argue for audiences, relating ideas including relevant details from learnt topics, topics of interest or texts., They group, logically sequence and link ideas., They use language features including topic-specific vocabulary, and/or visual features and features of voice., They use text structures including paragraphs, and language features including compound sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year3-AS-4477, Year3-AS-77, Year3-AS-7849, Year3-AS-9767, Year3-AS-994"
AC9E3LY01,"They describe how stories are developed through characters and/or events., They describe how texts are structured and presented., They describe the language features of texts including topic-specific vocabulary and literary devices, and how visual features extend meaning., They read, view and comprehend texts, recognising their purpose and audience.","Year3-AS-3926, Year3-AS-4698, Year3-AS-6612, Year3-AS-7796"
AC9E3LY02,"Students interact with others, and listen to and create spoken and/or multimodal texts including stories.","Year3-AS-5312, Year3-AS-9767, Year4-AS-9767"
AC9E3LY02,"They relate ideas; express opinion, preferences and appreciation of texts; and include relevant details from learnt topics, topics of interest or texts.","Year3-AS-5312, Year3-AS-9767, Year4-AS-9767"
AC9E3LY03,"They describe how stories are developed through characters and/or events., They describe the language features of texts including topic-specific vocabulary and literary devices, and how visual features extend meaning., They read, view and comprehend texts, recognising their purpose and audience.","Year3-AS-3926, Year3-AS-6612, Year3-AS-7796"
AC9E3LY04,"They read fluently, using phonic, morphemic and grammatical knowledge to read multisyllabic words with more complex letter patterns., They read, view and comprehend texts, recognising their purpose and audience.","Year3-AS-1436, Year3-AS-3926"
AC9E3LY05,"Students interact with others, and listen to and create spoken and/or multimodal texts including stories., They describe how texts are structured and presented., They identify literal meaning and explain inferred meaning., They read, view and comprehend texts, recognising their purpose and audience.","Year3-AS-3926, Year3-AS-4698, Year3-AS-7034, Year3-AS-9767"
AC9E3LY06,"They spell multisyllabic words using phonic and morphemic knowledge, and high-frequency words., They use text structures including paragraphs, and language features including compound sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year3-AS-1942, Year3-AS-7849, Year3-AS-994"
AC9E3LY06,"They create written and/or multimodal texts including stories to inform, narrate, explain or argue for audiences, relating ideas including relevant details from learnt topics, topics of interest or texts.","Year3-AS-1942, Year3-AS-7849, Year3-AS-994"
AC9E3LY07,"Students interact with others, and listen to and create spoken and/or multimodal texts including stories., They group, logically sequence and link ideas., They relate ideas; express opinion, preferences and appreciation of texts; and include relevant details from learnt topics, topics of interest or texts., They use language features including topic-specific vocabulary, and/or visual features and features of voice.","Year3-AS-4477, Year3-AS-5312, Year3-AS-77, Year3-AS-9767"
AC9E3LY08,They write texts using letters that are accurately formed and consistent in size.,Year3-AS-3749
AC9E3LY09,"They read fluently, using phonic, morphemic and grammatical knowledge to read multisyllabic words with more complex letter patterns., They spell multisyllabic words using phonic and morphemic knowledge, and high-frequency words.","Year3-AS-1436, Year3-AS-1942"
AC9E3LY10,"They read fluently, using phonic, morphemic and grammatical knowledge to read multisyllabic words with more complex letter patterns.",Year3-AS-1436
AC9E3LY11,"They spell multisyllabic words using phonic and morphemic knowledge, and high-frequency words.",Year3-AS-1942
AC9E3LY12,"They spell multisyllabic words using phonic and morphemic knowledge, and high-frequency words.",Year3-AS-1942
AC9E4LA01,"Students interact with others, and listen to and create spoken and/or multimodal texts including stories.","Year3-AS-9767, Year4-AS-9767"
AC9E4LA02,"They describe how language features including literary devices, and visual features shape meaning., They use language features including subjective and objective language, topic-specific vocabulary and literary devices, and/or visual features and features of voice.","Year4-AS-4170, Year4-AS-5015, Year4-AS-928"
AC9E4LA02,"They share and extend ideas, opinions and information with audiences, using relevant details from learnt topics, topics of interest or texts.","Year4-AS-4170, Year4-AS-5015, Year4-AS-928"
AC9E4LA03,"They create written and/or multimodal texts including stories for purposes and audiences, where they develop ideas using details from learnt topics, topics of interest or texts., They describe how ideas are developed including through characters and events, and how texts reflect contexts., They describe how language features including literary devices, and visual features shape meaning., They describe the characteristic features of different text structures., They use language features including complex sentences, topic-specific vocabulary and literary devices, and/or visual features., They use language features including subjective and objective language, topic-specific vocabulary and literary devices, and/or visual features and features of voice., They use paragraphs to organise and link ideas., They use text structures to organise and link ideas.","Year4-AS-2446, Year4-AS-3318, Year4-AS-4170, Year4-AS-5015, Year4-AS-5067, Year4-AS-60, Year4-AS-8934, Year4-AS-9414"
AC9E4LA04,"They create written and/or multimodal texts including stories for purposes and audiences, where they develop ideas using details from learnt topics, topics of interest or texts., They describe how ideas are developed including through characters and events, and how texts reflect contexts., They describe the characteristic features of different text structures., They use paragraphs to organise and link ideas., They use text structures to organise and link ideas.","Year4-AS-2446, Year4-AS-3318, Year4-AS-60, Year4-AS-8934, Year4-AS-9414"
AC9E4LA05,"They describe the characteristic features of different text structures., They read, view and comprehend texts created to inform, influence and/or engage audiences.","Year4-AS-1871, Year4-AS-2446"
AC9E4LA06,"They create written and/or multimodal texts including stories for purposes and audiences, where they develop ideas using details from learnt topics, topics of interest or texts., They describe how ideas are developed including through characters and events, and how texts reflect contexts., They describe how language features including literary devices, and visual features shape meaning., They use language features including complex sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year4-AS-3318, Year4-AS-4170, Year4-AS-5067, Year4-AS-8934"
AC9E4LA07,"They create written and/or multimodal texts including stories for purposes and audiences, where they develop ideas using details from learnt topics, topics of interest or texts., They describe how ideas are developed including through characters and events, and how texts reflect contexts., They describe how language features including literary devices, and visual features shape meaning., They read, view and comprehend texts created to inform, influence and/or engage audiences., They use language features including complex sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year4-AS-1871, Year4-AS-3318, Year4-AS-4170, Year4-AS-5067, Year4-AS-8934"
AC9E4LA08,"They create written and/or multimodal texts including stories for purposes and audiences, where they develop ideas using details from learnt topics, topics of interest or texts., They describe how ideas are developed including through characters and events, and how texts reflect contexts., They describe how language features including literary devices, and visual features shape meaning., They use language features including complex sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year4-AS-3318, Year4-AS-4170, Year4-AS-5067, Year4-AS-8934"
AC9E4LA09,"They describe how language features including literary devices, and visual features shape meaning., They spell words including multisyllabic and multimorphemic words with irregular spelling patterns, using phonic, morphemic and grammatical knowledge., They use language features including complex sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year4-AS-4170, Year4-AS-4250, Year4-AS-5067"
AC9E4LA10,"They create written and/or multimodal texts including stories for purposes and audiences, where they develop ideas using details from learnt topics, topics of interest or texts., They describe how language features including literary devices, and visual features shape meaning., They read, view and comprehend texts created to inform, influence and/or engage audiences., They use language features including complex sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year4-AS-1871, Year4-AS-4170, Year4-AS-5067, Year4-AS-8934"
AC9E4LA11,"They describe how language features including literary devices, and visual features shape meaning., They read, view and comprehend texts created to inform, influence and/or engage audiences., They use language features including complex sentences, topic-specific vocabulary and literary devices, and/or visual features., They use language features including subjective and objective language, topic-specific vocabulary and literary devices, and/or visual features and features of voice.","Year4-AS-1871, Year4-AS-4170, Year4-AS-5015, Year4-AS-5067"
AC9E4LA12,"They describe how language features including literary devices, and visual features shape meaning., They read fluently and accurately, integrating phonic, morphemic, grammatical and punctuation knowledge., They use language features including complex sentences, topic-specific vocabulary and literary devices, and/or visual features.","Year4-AS-4170, Year4-AS-5067, Year4-AS-5193"
AC9E4LE01,"They describe how ideas are developed including through characters and events, and how texts reflect contexts., They read, view and comprehend texts created to inform, influence and/or engage audiences.","Year4-AS-1871, Year4-AS-3318"
